실험명,retrieval backbone,post-retrieval,accuracy(%),correct/total,avg_time(s/q),status,비고
stage7__baseline_recheck,dense (IP),없음,55.21,143/259,1.232,COMPLETED,6차 최고 기준선 재확인
stage7__dense_rerank_statute,dense_qpc,statute penalty,53.28,138/259,1.176,COMPLETED,법령 mismatch 보정 효과
stage7__dense_rerank_polarity_soft,dense_qpc,soft polarity penalty,52.90,137/259,1.107,COMPLETED,polarity mismatch 완화 효과
stage7__dense_rerank_statute_polarity,dense_qpc,statute + polarity penalty,52.90,137/259,1.218,COMPLETED,7차 핵심 후보
stage7__dense_rerank_statute_polarity_choice,dense_qpc,statute + polarity + choice bonus,53.28,138/259,1.201,COMPLETED,choice overlap 보조 효과
stage7__dense_suffix_natural_polarity,dense (IP),없음,0.00,0/0,0.000,FAILED,자연문장형 polarity suffix 단독 검증
